heure_debut,prix,line_up,nb_place_dispo,volontaires,cause_soutien,espace_exterieur,enfants
20:20,644.82,fusce posuere felis sed lacus morbi sem mauris laoreet,9749,false,auctor sed tristique in tempus sit,false,false
19:21,807.62,felis donec semper sapien a,2216,true,pellentesque quisque porta volutpat erat,true,true
20:57,445.85,augue vestibulum rutrum rutrum neque aenean auctor gravida sem,5752,true,ut massa quis augue luctus tincidunt nulla mollis molestie,true,true
20:53,828.21,non quam nec dui luctus rutrum nulla tellus in,6430,false,congue risus semper porta volutpat quam pede lobortis ligula sit,true,false
19:12,449.34,in lacus curabitur at ipsum ac tellus semper,2121,true,amet sem fusce consequat nulla nisl nunc nisl duis bibendum,true,true
20:42,689.76,maecenas leo odio condimentum id,3101,false,primis in faucibus orci luctus et ultrices posuere,true,true
19:01,258.74,interdum mauris non ligula pellentesque ultrices phasellus id sapien,689,true,gravida nisi at nibh in hac habitasse,false,false
20:45,596.02,sagittis sapien cum sociis natoque penatibus et magnis,1876,false,libero nullam sit amet turpis,true,false
19:29,650.02,tincidunt eget tempus vel pede morbi porttitor,9233,true,sit amet cursus id turpis integer,false,false
20:40,501.87,vivamus in felis eu sapien cursus vestibulum proin,2663,false,nisl aenean lectus pellentesque eget nunc donec quis,false,false
18:44,442.16,purus aliquet at feugiat non,7756,true,purus aliquet at feugiat non pretium quis lectus suspendisse,false,false
18:21,687.13,porta volutpat erat quisque erat eros viverra,4045,false,massa id lobortis convallis tortor risus dapibus augue,true,true
19:22,933.24,ac nibh fusce lacus purus,3367,false,nisl duis bibendum felis sed interdum venenatis turpis enim blandit,true,true
20:53,120.65,semper sapien a libero nam,2923,false,in imperdiet et commodo vulputate justo in blandit ultrices enim,false,true
18:06,928.54,sollicitudin ut suscipit a feugiat et,7144,false,tellus nulla ut erat id mauris vulputate elementum nullam,true,true
20:07,401.11,in lacus curabitur at ipsum ac,7209,false,etiam faucibus cursus urna ut tellus nulla,true,true
18:35,115.71,tortor risus dapibus augue vel accumsan,6783,false,lacinia sapien quis libero nullam sit amet turpis elementum ligula,false,false
18:33,849.92,viverra eget congue eget semper,9159,true,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,true,true
19:29,411.8,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,2571,true,ligula pellentesque ultrices phasellus id,false,true
20:02,469.07,maecenas leo odio condimentum id luctus nec molestie sed,3664,false,odio curabitur convallis duis consequat dui nec nisi,true,true
19:41,859.78,neque sapien placerat ante nulla justo aliquam quis,5856,true,lobortis ligula sit amet eleifend pede,true,true
19:51,771.6,pede venenatis non sodales sed tincidunt eu felis fusce posuere,2676,false,penatibus et magnis dis parturient,false,true
19:37,330.86,donec pharetra magna vestibulum aliquet ultrices erat,3515,false,eros vestibulum ac est lacinia nisi venenatis,true,false
19:23,348.74,fermentum justo nec condimentum neque sapien placerat ante nulla,846,true,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra,true,true
19:09,128.66,condimentum curabitur in libero ut massa,799,false,sodales sed tincidunt eu felis fusce,true,true
19:08,324.2,vel augue vestibulum ante ipsum primis in faucibus orci,8817,false,consequat metus sapien ut nunc vestibulum ante ipsum,false,true
18:30,868.81,sit amet cursus id turpis integer aliquet massa,4668,true,praesent id massa id nisl venenatis lacinia aenean sit,false,false
18:30,608.89,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,770,false,felis donec semper sapien a libero nam dui proin,true,true
18:14,229.41,nunc proin at turpis a pede posuere nonummy,4314,true,odio in hac habitasse platea dictumst,true,false
19:16,797.86,tincidunt eget tempus vel pede morbi,1133,false,in ante vestibulum ante ipsum primis in faucibus orci,false,true
19:24,685.41,sapien iaculis congue vivamus metus arcu adipiscing molestie,3008,true,tempus vivamus in felis eu,false,false
19:49,720.01,ultrices posuere cubilia curae mauris viverra,9581,false,vestibulum ante ipsum primis in faucibus,true,false
19:09,944.87,lacus at velit vivamus vel nulla eget eros,5618,false,in felis eu sapien cursus vestibulum proin,false,true
18:27,460.84,nulla justo aliquam quis turpis,4073,false,purus aliquet at feugiat non,true,true
19:19,279.2,sed nisl nunc rhoncus dui vel sem sed,1417,true,ultrices posuere cubilia curae mauris viverra,false,true
20:47,736.75,congue elementum in hac habitasse platea dictumst morbi vestibulum velit,1388,true,tellus in sagittis dui vel nisl duis,true,true
18:54,644.36,nisl ut volutpat sapien arcu sed augue aliquam,1809,true,vel augue vestibulum rutrum rutrum neque aenean,true,false
19:04,316.52,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,5395,false,ut mauris eget massa tempor convallis nulla neque libero convallis,true,true
18:00,494.8,nullam porttitor lacus at turpis donec,5515,false,nam congue risus semper porta volutpat quam,true,true
18:22,466.1,dictumst etiam faucibus cursus urna ut tellus nulla ut erat,6560,false,consectetuer adipiscing elit proin risus praesent lectus,true,true
20:40,990.4,in quam fringilla rhoncus mauris enim,3420,true,duis consequat dui nec nisi volutpat eleifend donec,true,false
19:06,765.13,purus eu magna vulputate luctus,7400,true,elit proin interdum mauris non ligula pellentesque ultrices phasellus id,false,true
20:43,673.14,pede justo lacinia eget tincidunt eget,6223,false,integer pede justo lacinia eget tincidunt,true,true
18:59,836.25,tristique fusce congue diam id ornare imperdiet sapien urna pretium,2462,true,faucibus orci luctus et ultrices posuere cubilia,false,true
