id_utilisateur,date_historique,texte_historique
66,12/6/2020,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus
33,7/1/1906,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus
791,11/4/1949,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla
555,7/3/2008,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae
868,4/10/2021,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula
425,3/11/1978,a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in
81,12/28/2019,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem
608,3/17/1919,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat
5,1/18/1980,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales
139,8/30/1934,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo
553,10/1/1965,integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis
960,12/9/1956,justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus
925,6/30/1914,sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla
479,6/7/1946,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac
148,2/16/1940,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan
132,5/20/1928,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non
328,3/19/1928,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
380,12/31/1935,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo
937,2/17/1949,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id
827,1/7/1940,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum
457,10/16/1977,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit
11,1/21/1947,ligula nec sem duis aliquam convallis nunc proin at turpis a
156,9/26/1949,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras
355,10/30/1919,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget
456,8/9/2021,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel
1,7/5/1904,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at
458,10/17/1963,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis
473,12/8/1952,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula
547,11/18/1947,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend
440,1/7/1908,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper
334,9/20/1932,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar
485,5/10/1980,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci
261,6/7/1999,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus
26,2/20/1931,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante
981,1/23/2002,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce
877,4/18/1993,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis
63,1/5/1929,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare
879,3/18/1980,ultrices posuere cubilia curae nulla dapibus dolor vel est donec
463,5/21/1962,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus
886,11/11/1947,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus
975,8/6/1932,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat
51,6/23/1934,tristique est et tempus semper est quam pharetra magna ac consequat metus
660,5/2/1912,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
677,10/13/1970,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis
726,6/15/1965,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet
3,10/24/1917,ac nibh fusce lacus purus aliquet at feugiat non pretium quis
625,8/10/1951,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris
827,4/10/1993,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci
409,11/25/1992,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor
230,2/27/1955,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent
315,11/17/1970,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis
471,9/18/1968,turpis a pede posuere nonummy integer non velit donec diam
278,1/26/1965,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl
746,8/26/1943,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida
947,2/5/1945,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa
352,4/9/1962,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam
808,9/29/1944,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero
524,12/30/2016,in consequat ut nulla sed accumsan felis ut at dolor quis odio
157,7/13/1914,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante
852,8/6/1965,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor
325,10/30/2021,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit
