id_album,id_artiste,nom_morceau,date_upload,duree,type_morceau
952,108,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,12/11/1996,0:07:04,Pop
273,72,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in,6/2/2021,0:03:21,Alternative
55,147,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non,8/3/2014,0:00:15,Reggae
945,48,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,6/25/2006,0:02:24,Heavy Metal
490,41,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,8/22/1983,0:01:27,Classical
612,87,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,1/9/2021,0:07:13,Rock
403,159,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor,9/1/2011,0:01:15,World
337,48,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,6/1/2000,0:04:14,Hip Hop
356,35,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus,6/24/2001,0:01:05,Indie
97,118,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,11/26/2000,0:02:40,World
137,96,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,3/3/1998,0:00:34,Rap
339,185,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,12/12/1989,0:04:39,Classical
835,105,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,6/18/1981,0:03:23,Jazz
65,73,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,5/14/1992,0:03:40,Blues
936,35,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate,4/10/1997,0:05:14,Alternative
933,101,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia,9/21/1993,0:07:34,Punk
781,13,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,11/4/2003,0:09:10,Heavy Metal
15,169,vestibulum ante ipsum primis in faucibus orci luctus et ultrices,10/27/1985,0:00:31,Other
176,47,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,6/10/1988,0:03:47,Folk
590,193,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse,3/20/1992,0:01:45,Punk
747,46,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,6/6/2012,0:06:50,Country
508,164,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,7/13/1991,0:05:17,Other
782,128,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit,8/26/1982,0:09:44,Electronic
119,116,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget,6/28/1983,0:00:50,Reggae
523,150,egestas metus aenean fermentum donec ut mauris eget massa tempor,1/15/1999,0:05:03,Electronic
603,119,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra,7/10/2010,0:05:05,Rap
886,35,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo,5/31/1984,0:01:47,Blues
406,179,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,10/18/2014,0:08:17,Alternative
603,127,aliquam convallis nunc proin at turpis a pede posuere nonummy integer,4/17/1987,0:09:54,Heavy Metal
426,136,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede,5/27/2003,0:05:16,Folk
676,143,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,12/21/1993,0:04:58,Punk
222,44,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non,8/21/2022,0:09:48,Indie
940,120,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,5/21/1993,0:06:51,Punk
257,64,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,8/2/2009,0:06:45,Blues
375,137,nec nisi volutpat eleifend donec ut dolor morbi vel lectus,2/19/1982,0:06:57,R&B
848,113,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,12/20/1997,0:05:28,Rock
129,183,vestibulum sit amet cursus id turpis integer aliquet massa id,4/1/1984,0:05:30,Jazz
76,37,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,11/10/1993,0:01:35,Alternative
182,179,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor,6/20/2005,0:04:04,Heavy Metal
