id_utilisateur,id_concert,note,commentaire
853,713,2,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum
59,532,5,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
898,968,4,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec
163,947,4,varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
304,273,5,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit
855,45,2,non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus
79,939,5,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis
102,952,2,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam
2,647,1,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet
914,750,2,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu
800,779,3,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar
581,427,2,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum
552,311,3,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet
731,842,4,ultrices phasellus id sapien in sapien iaculis congue vivamus metus
147,546,2,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer
454,735,1,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut
420,650,3,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam
806,815,2,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non
496,956,4,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est
839,131,4,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat
505,372,3,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac
241,265,2,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi
554,189,3,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit
537,738,3,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel
299,414,3,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien
930,21,4,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis
558,179,3,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac
495,989,2,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed
699,277,2,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit
225,586,4,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel
24,411,1,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis
458,169,1,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id
7,56,2,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac
676,585,2,lectus in est risus auctor sed tristique in tempus sit amet sem fusce
