id_utilisateur,id_groupe,note,commentaire
653,134,2,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis
862,95,2,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam
674,84,4,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed
437,99,2,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu
939,4,5,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit
183,163,1,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed
191,105,1,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra
448,97,1,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut
147,25,3,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis
16,174,2,est risus auctor sed tristique in tempus sit amet sem fusce
831,60,5,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo
648,63,4,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu
331,188,4,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in
998,18,3,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl
368,5,1,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis
817,101,4,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante
596,118,3,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel
179,65,1,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis
371,126,4,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget
680,16,1,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio
270,42,4,gravida nisi at nibh in hac habitasse platea dictumst aliquam
118,117,3,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices
420,179,3,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec
574,92,3,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis
784,110,2,vestibulum proin eu mi nulla ac enim in tempor turpis nec
963,105,3,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis
237,20,5,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent
216,188,1,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris
865,86,2,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit
