id_utilisateur,id_lieu,note,commentaire
765,504,5,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer
43,975,5,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur
903,218,2,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl
947,541,5,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis
400,814,5,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis
737,65,1,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet
268,272,4,arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst
285,18,3,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum
737,651,3,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus
663,367,3,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum
237,618,5,nonummy integer non velit donec diam neque vestibulum eget vulputate
917,139,5,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed
417,182,3,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend
921,672,1,condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat
916,289,1,eget tincidunt eget tempus vel pede morbi porttitor lorem id
476,783,2,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis
208,818,5,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero
988,951,4,vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum
542,991,5,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras
319,463,5,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue
701,448,1,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit
285,648,2,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras
226,789,4,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer
681,809,1,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit
811,164,5,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris
744,347,1,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
898,353,2,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis
557,864,4,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam
630,911,4,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros
487,71,3,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi
881,979,1,in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in
972,475,1,consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius
207,7,2,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi
990,246,1,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper
83,386,1,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis
480,141,5,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est
576,714,1,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam
778,338,4,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat
967,842,1,pede justo eu massa donec dapibus duis at velit eu est congue elementum
341,910,5,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis
741,50,4,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer
