id_utilisateur,id_morceau,note,commentaire
347,979,1,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie
20,656,3,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque
858,810,1,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat
558,938,4,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et
529,402,4,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi
180,898,4,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod
975,693,5,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti
895,383,3,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque
515,455,2,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo
513,454,4,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae
710,514,3,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus
379,308,5,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet
598,744,2,amet lobortis sapien sapien non mi integer ac neque duis
799,691,3,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet
552,864,4,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien
255,940,1,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris
928,816,3,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque
833,164,4,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce
208,552,3,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis
723,183,4,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis
584,990,4,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt
317,96,3,ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam
737,386,3,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris
718,592,4,eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa
178,707,5,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla
700,701,5,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis
756,389,1,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
529,786,5,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras
824,799,2,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel
319,539,3,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer
972,369,3,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
24,37,2,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient
145,326,4,pede posuere nonummy integer non velit donec diam neque vestibulum eget
743,199,5,dui maecenas tristique est et tempus semper est quam pharetra magna ac
901,989,5,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet
