id_utilisateur,nom_playlist
746,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea
904,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla
805,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede
336,at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque
396,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc
793,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse
53,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie
914,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam
578,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium
641,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi
44,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum
684,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus
627,in lectus pellentesque at nulla suspendisse potenti cras in purus eu
856,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit
185,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi
291,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut
782,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla
502,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est
890,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue
344,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed
717,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in
447,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla
976,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea
779,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in
147,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id
455,velit donec diam neque vestibulum eget vulputate ut ultrices vel
754,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in
497,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis
106,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus
523,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum
927,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem
686,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam
199,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere
235,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac
808,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo
235,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo
663,luctus ultricies eu nibh quisque id justo sit amet sapien
336,in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed
738,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a
780,nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac
663,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh
825,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor
711,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio
249,gravida sem praesent id massa id nisl venenatis lacinia aenean sit
646,vivamus tortor duis mattis egestas metus aenean fermentum donec ut
199,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean
93,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas
976,aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non
690,in est risus auctor sed tristique in tempus sit amet sem
949,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit
476,nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam
260,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero
92,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies
360,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi
505,proin eu mi nulla ac enim in tempor turpis nec
164,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor
209,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at
266,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu
278,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel
51,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu
370,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec
687,semper est quam pharetra magna ac consequat metus sapien ut nunc
605,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed
447,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at
601,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a
