id_tag_groupe,id_tag_concert,id_tag_morceau,id_tag_playlist,id_tag_lieu,id_tag_genre,id_tag_sous_genre,"nom_tag"
,,2,,,,,"triste"
,,3,,,,,"joyeux"
,,,,,1,,"jazz"
,,,,,,1,"Hard Rock"
56,,,,,,,"Chien"
,,35,,,,,"Chat"
,,,,24,,,"Maison"
93,,,,,,,"Voiture"
,,,,,,81,"Ordinateur"
11,,,,,,,"Livre"
,17,,,,,,"Jardin"
,,,,,46,,"Amour"
,22,,,,,,"Pomme"
78,,,,,,,"Musique"
,,,,,,62,"École"
37,,,,,,,"Fleur"
,99,,,,,,"Bonheur"
,,,,57,,,"Plage"
84,,,,,,,"Café"
28,,,,,,,"Voyage"
,,,,,,43,"Rêve"
65,,,,,,,"Montagne"
,42,,,,,,"Étoile"
,,,,13,,,"Rire"
,59,,,,,,"Bateau"
21,,,,,,,"Lumière"
,,,,,,73,"Aventure"
48,,,,,,,"Famille"
15,,,,,,,"Soleil"
,,,,97,,,"Paix"
,33,,,,,,"Oiseau"
67,,,,,,,"Nature"
,,,,,,19,"Bonjour"
54,,,,,,,"Espoir"
,29,,,,,,"Eau"
,,,,51,,,"Liberté"
,76,,,,,,"Danse"
63,,,,,,,"Arc-en-ciel"
,,,,,,38,"Sourire"
91,,,,,,,"Ciel"
,57,,,,,,"Cœur"
,,,,49,,,"Rêverie"
,,37,,,,,"Vie"
85,,,,,,,"Joie"
19,,,,,,,"Piano"
,96,,,,,,"Chanson"
,,,,12,,,"Espérance"
72,,,,,,,"Énergie"
,26,,,,,,"Paradis"
38,,,,,,,"Poésie"
,,,,,,83,"Rire"
71,,,,,,,"Nature"
49,,,,,,,"Paix"
,,,,74,,,"Amitié"
32,,,,,,,"Sourire"
89,,,,,,,"Univers"
,,63,,,,,"Voyager"
,,,,,,77,"Belle"
58,,,,,,,"Aventure"
42,,,,,,,"Famille"
,,21,,,,,"Espoir"
67,,,,,,,"Soleil"
,,,,,,23,"Oiseau"
41,,,,,,,"Nature"
16,,,,,,,"Bonjour"
,56,,,,,,"Liberté"
97,,,,,,,"Sourire"
22,,,,,,,"Joie"
,,,,,,39,"Vie"
54,,,,,,,"Rire"
88,,,,,,,"Plage"
,75,,,,,,"École"
,,,,,,61,"Café"
14,,,,,,,"Voyage"
,82,,,,,,"Musique"
47,,,,,,,"Pomme"
,,,,36,,,"Amour"
65,,,,,,,"Maison"
33,,,,,,,"Livre"
,11,,,,,,"Jardin"
,,,,26,,,"Chien"
79,,,,,,,"Chat"
55,,,,,,,"Voiture"
,,,,,,92,"Ordinateur"
27,,,,,,,"Lumière"
,68,,,,,,"Fleur"
,,,,43,,,"Plage"
37,,,,,,,"Café"
71,,,,,,,"Voyage"
,,,,,,58,"Rêve"
49,,,,,,,"Montagne"
22,,,,,,,"Étoile"
,32,,,,,,"Soleil"
,,,,89,,,"Rire"
64,,,,,,,"Bateau"
98,,,,,,,"Lumière"
,,,,,,14,"Aventure"
39,,,,,,,"Famille"
77,,,,,,,"Espoir"
58,,,,,,,"Soleil"
,19,,,,,,"Oiseau"
41,,,,,,,"Nature"
,,,,,,78,"Bonjour"
52,,,,,,,"Liberté"
,45,,,,,,"Perro"
,56,,,,,,"Gato"
,,,,27,,,"Casa"
63,,,,,,,"Coche"
,,,,,,84,"Computadora"
18,,,,,,,"Libro"
,39,,,,,,"Jardín"
,,,,72,,,"Amor"
,81,,,,,,"Manzana"
29,,,,,,,"Música"
,,,,,,53,"Escuela"
37,,,,,,,"Flor"
92,,,,,,,"Felicidad"
,,,,61,,,"Playa"
54,,,,,,,"Café"
26,,,,,,,"Viaje"
,,,,,,48,"Sueño"
72,,,,,,,"Montaña"
,16,,,,,,"Estrella"
